Clean_Text,Emotion
instructor criticized presentation publicly,Angry
enjoyed science exhibition together,Joy
thesis draft received harsh criticism,Sad
submitted empirical analysis,Neutral
scared oral examination,Fear
classmate intentionally delayed project,Angry
fear wonot manage time well,Fear
got rejected academic institute,Sad
afraid failing statistic course,Fear
afraid failing required course,Fear
nervous exam question,Fear
professor offered position course coordinator,Joy
academic mentor terminated relationship,Sad
cancel trip,Sad
got funding revolutionary research concept,Joy
worried answer wonot good enough,Fear
fear smart enough,Fear
professor showed favoritism others,Angry
hate senior get away everything,Angry
study skill seem inadequate success,Sad
got rejected academic fellowship,Sad
professor questioned academic commitment,Sad
attended research meeting,Neutral
make wrong academic decision,Fear
research collaboration winning prestigious award,Joy
anxious peer pressure situation,Fear
working fine,Neutral
professor refused endorse work,Sad
go mad group mate,Angry
research conclusion lack sufficient support,Sad
faced accident missed exam,Sad
received full funding graduate study,Joy
attended academic workshop,Neutral
meeting study group pm,Neutral
make cry,Sad
professor offered position shaping next generation,Joy
course description totally misleading,Angry
community project impacted hundred,Joy
quiet zone,Neutral
scared thesis submission deadline,Fear
lost sport competition final,Sad
got dream internship google,Joy
instructor gave unfair assessment,Angry
failed get required course,Sad
research funding application denied,Sad
unsuccessful everything,Sad
professor dismissed explanation abruptly,Angry
afraid academic probation,Fear
professor expressed disappointment repeatedly,Sad
research methodology revolutionizing approach,Joy
never take feedback seriously,Angry
completed field observation,Neutral
attend lecture today,Neutral
got selected student council,Joy
scared unprepared,Fear
short story literary prize,Joy
afraid chose wrong major,Fear
exam hall hot uncomfortable,Angry
professor said potential phd,Joy
printer paper,Neutral
professor explained concept clearly,Neutral
lab locked,Angry
professor refused collaboration outright,Sad
hate repeat thing,Angry
changed plan without telling,Angry
worried family financial struggle,Fear
felt angry internship rejection,Angry
frustrated constant pressure perform,Angry
scared comprehensive examination,Fear
academic record multiple error,Angry
dining hall food quality absolutely terrible,Angry
got selected th year,Joy
need register workshop,Neutral
lost wallet today vey sad,Sad
campus security treat student poorly,Angry
struggling understand course material,Sad
research topic reject,Sad
scared english good enough,Fear
made new friend study group,Joy
attended academic colloquium,Neutral
study group helped understand difficult concept,Joy
got selected prestigious research fellowship,Joy
lost part time job due poor grade,Sad
campus activity fee keep increasing,Angry
roommate studying final,Neutral
professor unrealistic expectation,Angry
fed everything alone,Angry
course credit hour,Neutral
felt enraged repeated rejection,Angry
found good food today,Joy
afraid failing research experiment,Fear
like batch mate,Angry
reviewed data collection method,Neutral
waited minute group call one showed,Angry
campus technology support completely useless,Angry
attended faculty presentation,Neutral
friend surprised birthday,Joy
academic achievement creating positive impact,Joy
afraid letting team,Fear
research proposal failed committee review,Sad
academic journey reaching infinite fulfillment,Joy
hi galle,Neutral
anxious peer collaboration,Fear
completed thesis proposal,Neutral
worried enough practice,Fear
feel mad friend,Angry
lost hostel room key,Sad
professor grade based personal bias,Angry
study guide available online,Neutral
course material blackboard,Neutral
completed clinical research,Neutral
worried maintaining scholarship requirement,Fear
working report right,Neutral
nd year student,Neutral
got rejected dream graduate program,Sad
reviewed statistical method,Neutral
classmate challenged aggressively,Angry
fell sick mid semester week,Sad
completed systematic analysis,Neutral
clothes missing hostel,Angry
reviewed reliability test,Neutral
missed last shuttle bus hostel,Sad
could attend farewell night,Sad
glad presentation went smoothly,Joy
artistic work displayed gallery,Joy
scared thesis defense presentation,Fear
professor invited co author paper,Joy
professor provide adequate feedback,Angry
attending office hour tomorrow,Neutral
lost temper lab session,Angry
fear accepted study,Fear
got accepted graduate program,Joy
instructor refused extend deadline,Angry
reviewed grading rubric,Neutral
scared poor grade,Fear
professor offered independent study opportunity,Joy
furious work overtime without pay,Angry
professor replied email,Neutral
discovered passion subject,Joy
hostel room got flooded heavy rain,Sad
fear research wonot original,Fear
get program wanted,Sad
course scheduling completely illogical,Angry
never take feedback seriously,Angry
nervous group evaluation,Fear
scared viva question,Fear
great discussion superisor,Joy
completed comprehensive exam,Neutral
group member irresponsible,Angry
classmate talk loudly lecture distracting,Angry
academic journey exceeded expectation,Joy
study method proving entirely useless,Sad
reviewed research instrument,Neutral
completed descriptive analysis,Neutral
great time friend yesterday ngiht,Joy
completed diagnostic research,Neutral
worried chemistry lab safety,Fear
hate constant pressure lecturer,Angry
research conclusion completely unfounded,Sad
worried maintaining scholarship requirement,Fear
felt frustrated project obstacle,Angry
research proposal received enthusiastic approval,Joy
balance work study,Fear
professor provides office hour,Neutral
went ar office sign bursary,Neutral
assignment rubric detailed,Neutral
classmate ignored suggestion,Angry
disappoint parent,Fear
instructor ignored improvement effort,Angry
research poster best presentation,Joy
meet gpa requirement,Sad
fil exam,Fear
worried standardized test score,Fear
much work time even self study something new,Angry
course curriculum completely outdated,Angry
study abroad experience exceeding expectation,Joy
group mate supportive today,Joy
research idea get rejected,Fear
submitted literature review,Neutral
missed chance perform talent show,Sad
reviewed academic standard,Neutral
felt frustrated lack guidance,Angry
completed collaborative study,Neutral
feel lonely even surrounded people,Sad
attended academic meeting,Neutral
completed literature search,Neutral
thesis proposal enthusiastically received,Joy
got honor program,Joy
professor offered position university fellow,Joy
reviewed research ethic,Neutral
completed longitudinal study,Neutral
anxious peer evaluation feedback,Fear
professor invited international conference,Joy
missed computer lab practical session,Sad
go town,Neutral
research direction lack focus entirely,Sad
academic journey opening unexpected path,Joy
academic future look increasingly uncertain,Sad
lost campus job,Sad
stopped relationship heart borken piece,Sad
completed case study research,Neutral
group chat full nonsense work get done,Angry
woke made bed,Neutral
get good grade,Fear
study group disbanded final,Sad
professor said work lack depth,Sad
research idea bad,Sad
photography contest,Joy
research collaboration opportunity appeared,Joy
got selected world academic forum,Joy
instructor criticized teamwork,Angry
textbook reading tomorrow,Neutral
get fear unaanounced exam held,Fear
completed ethnographic study,Neutral
let meet near canteen,Neutral
scared faculty criticism,Fear
got accepted graduate school,Joy
hate whole universe,Angry
library almost empty today,Neutral
team member working properly hate,Angry
worried wonot get good grade,Fear
study material comprehensive,Neutral
felt mistreated department staff,Angry
scared repeating year,Fear
lost place hostel allocation,Sad
keep ignoring,Angry
spent cheerful afternoon garden,Joy
scolded lecturer today,Sad
feel left batch,Sad
professor questioned intellectual capacity,Sad
mad student cheat still get good grade,Angry
stressed exam result,Fear
research data wrong,Fear
crush rejected,Sad
got enraged uncooperative lab partner,Angry
volunteer work got medium coverage,Joy
scholarship get revoked,Fear
got perfect score comprehensive exam,Joy
worried competing high achiever,Fear
professor refused collaboration request,Angry
anxious prepared enough,Fear
could attend funeral back home,Sad
research finding published top journal,Joy
worried failing upcoming exam,Fear
exam saddest situation,Sad
scared comprehensive exam failure,Fear
professor criticized work publicly,Sad
feel lonely even surrounded people,Sad
transcript processing delay,Angry
got supporitve superivsor,Joy
lecturer changed assignment deadline without telling u,Angry
going study today,Neutral
completed homework assignment,Neutral
academic achievement feel hollow,Sad
got highest mark exam,Joy
lose match ca handle,Fear
got upset course cancellation,Angry
professor wrote great recommendation letter,Joy
campus bookstore accepts return,Neutral
keep postponing exam without notice,Angry
senior really annoying,Angry
academic network creating positive global impact,Joy
graduation requirement changed unexpectedly,Angry
ca answer viva question,Fear
waiting outside classroom,Neutral
scheduled meeting academic advisor,Neutral
greatful,Joy
donot like,Angry
got frustrated unfair grading,Angry
campus security patrol night,Neutral
worried maintaining gpa,Fear
classmate undermined effort repeatedly,Angry
annual writing competition,Joy
lecture,Angry
nervous final result,Fear
worried internship evaluation,Fear
professor teach multiple subject,Neutral
two lecture day,Neutral
reviewed research application,Neutral
failure love,Sad
lost everything except life,Sad
could print assignment time,Sad
nervous internship interview,Fear
movie night hostel fun,Joy
business plan competition,Joy
classmate mocked presentation,Angry
afraid making wrong career choice,Fear
advisor seems disappointed progress,Sad
exam question unfair confusing,Angry
make new friend,Fear
scared thesis submission deadline,Fear
professor criticized literature review,Sad
felt provoked peer competition,Angry
cafeteria food disgusting,Angry
anxious laboratory practical exam,Fear
study schedule organized,Neutral
beauiful clothes wear,Sad
got invitation academic enlightenment,Joy
hate acedamic stress,Angry
instructor undervalued work,Angry
hostel food always cold tasteless,Angry
got low grade expect,Sad
submitted final project outline,Neutral
donot like university culture,Angry
research changed university policy,Joy
completed tutorial question,Neutral
got annoyed unfair participation grading,Angry
professor refused reconsider grade,Angry
study material outdated useless,Angry
sitting last row,Neutral
held lecture even poyadays,Angry
study strategy completely ineffective,Sad
research hypothesis proven wrong,Sad
received student leadership award,Joy
fear presentation wonot interesting,Fear
anxious laboratory safety protocol,Fear
graduation day finally,Joy
timetable small change,Neutral
attended research training,Neutral
could join society meeting,Sad
academic mentor lost confidence,Sad
glad completed assignment time,Joy
got upset course cancellation,Angry
professor give contradictory instruction,Angry
took part friendly sport match,Joy
missed convocation close friend,Sad
reviewed exam study guide,Neutral
nervous research publication,Fear
attended scholarly conference,Neutral
research project got rejected committee,Sad
got accepted competitive academic institute,Joy
got invitation join international advisory board,Joy
academic standing jeopardy,Sad
completed skill assessment,Neutral
dormitory wifi working fine today,Neutral
fail exam,Sad
registration deadline unreasonable,Angry
meet admission requirement,Sad
said good person,Sad
bath,Neutral
heating system dorm never work,Angry
got furious administrative mishandling,Angry
discussion forum post due,Neutral
get accepted graduate seminar,Sad
professor refused acknowledge progress,Angry
money dress well,Sad
classmate dismissed idea repeatedly,Angry
research collaboration expanding globally,Joy
ate fruites,Neutral
campus wifi constantly cutting,Angry
professor make student feel incompetent,Angry
first place academic competition,Joy
redo work,Angry
attended research meeting,Neutral
academic achievement completely meaningless,Sad
superviosr rejected research topic,Sad
essay appreciated lecturer,Joy
might graduate time,Fear
live want go home,Sad
professor available consultation,Neutral
happy today lecture canceld,Joy
completed psychological study,Neutral
peer review feedback overwhelmingly negative,Sad
got selected elite academic society,Joy
professor recommended editorial position,Joy
chose wrong university,Fear
submitted research manuscript,Neutral
attended research symposium,Neutral
wrote journal,Neutral
completed translational research,Neutral
study strategy failing consistently,Sad
got invitation join editorial board,Joy
adapt university life,Fear
felt enraged repeated project obstacle,Angry
group member ignored suggestion completely,Sad
exited spend time family,Joy
submitted analytical study,Neutral
angry timetable change last minute,Angry
completed analysis,Neutral
scared start project,Fear
got low grade,Sad
going get attendance marked,Neutral
went atm,Neutral
submitted field research,Neutral
hostel sanghamitta hostel,Neutral
worried internship performance,Fear
lab experiment result exceeded expectation,Joy
lecture afternoon,Neutral
got upset administrative error,Angry
got invitation lead international initiative,Joy
professor said essay brilliant,Joy
professor offered position research director,Joy
bought new notebook,Neutral
system crashed submission,Angry
university raised tuition fee,Angry
scared poor project feedback,Fear
lecturer criticized work publicly,Sad
lecturer never respect time,Angry
attended research presentation,Neutral
lost new pen drive,Sad
got irritated continuous criticism,Angry
senior aggressive towards u,Angry
academic advisor recommended program change,Sad
instructor refused supervise project,Angry
scared disappointing classmate,Fear
hate politics student group,Angry
academic writing getting published recognition,Joy
study break scheduled lunch,Neutral
scared thesis committee meeting,Fear
today module good,Joy
campus event today exciting,Joy
group project earned top mark,Joy
lecturer blamed u,Sad
team member donot work well,Angry
participated class debate prep,Neutral
anxious laboratory safety protocol,Fear
study technique finally paying,Joy
campus facility falling apart,Angry
final viva went poorly,Sad
got frustrated course coordination,Angry
happy complete task early,Joy
musical composition premiered concert,Joy
lost first class,Sad
professor offered collaboration book project,Joy
understand advanced concept,Fear
scared voice opinion class,Fear
got irritated exam scoring error,Angry
attended academic seminar,Neutral
worried academic recognition,Fear
rain ruined pair shoe,Sad
professor criticized presentation publicly,Angry
hostel water bathing,Sad
anxious thesis proposal defense,Fear
hate unfairly mark distributed,Angry
got positive feedback supervisor,Joy
lost lab coat,Sad
missed family sinhala new year,Sad
send pdf later,Neutral
sick waking early boring lecture,Angry
failed mid exam,Sad
competion today best performance,Joy
attended professional conference,Neutral
felt frustrated conflicting instruction,Angry
professor offered position wisdom incarnate,Joy
received presidential scholarship,Joy
reviewed measurement tool,Neutral
hostel rule unfair,Angry
attended academic conference,Neutral
instructor showed favoritism openly,Angry
organized note yesterday class,Neutral
planing go trip,Joy
afraid confronting professor,Fear
best firend got sick badly,Sad
academic performance keep declining,Sad
got criticized oral examination,Sad
need schedule meeting,Neutral
register class needed,Sad
could participate avurudu festival,Sad
reviewed academic framework,Neutral
failed project viva,Sad
go temple,Neutral
faced well exam,Sad
happy today,Joy
need attend mandatory session,Neutral
unfair marking scheme,Angry
need submit final portfolio,Neutral
classmate intentionally misled,Angry
first place science fair,Joy
submitted book review,Neutral
attended academic forum,Neutral
fed everything alone,Angry
got selected competitive academic exchange,Joy
scared future career prospect,Fear
nervous exam preparation,Fear
feel blessed today,Joy
done nonsense,Angry
academic network creating lasting partnership,Joy
missed application deadline scholarship,Sad
afraid meeting advisor expectation,Fear
forgot one submission date project report,Fear
felt left group,Sad
need complete prerequisite,Neutral
afraid chose wrong major,Fear
graduate time,Fear
one respect personal space hostel,Angry
anxious professor expectation,Fear
group discussion went well,Neutral
got highest mark last semester,Joy
good viva,Joy
please shouting study well,Angry
academic goal seem completely unrealistic,Sad
got accepted prestigious academic circle,Joy
get selected research conference,Sad
missed lecture due traffic jam,Sad
campus housing assignment system broken,Angry
professor praised research paper,Joy
academic advisor recommended program withdrawal,Sad
professor offered research assistant position,Joy
nervous academic competition,Fear
enjoyed music festival near university,Joy
enjoyed watching play auditorium,Joy
classmate sabotaged project timeline,Angry
understand material,Fear
studying common room,Neutral
faced viva well,Joy
selected student representative,Joy
classmate challenged unfairly,Angry
printed reading next week,Neutral
felt provoked peer questioning,Angry
worried finding job graduation,Fear
research finding transforming understanding,Joy
found perfect balance study life,Joy
missed mom,Sad
reviewed course material,Neutral
academic collaboration leading publication,Joy
got cut academic presentation,Sad
great party time friend yesterday,Joy
nervous thesis evaluation,Fear
campus facility maintenance request ignored,Angry
hand trembling heart racing,Fear
professor cancelled class without notice,Angry
got invitation keynote academic conference,Joy
missed family function village,Sad
exam answer wrong,Fear
friend talked behind back pretended like nothing happened,Angry
going library study,Neutral
lab session ended early,Neutral
scared approach supervisor help,Fear
proud help friend homework,Joy
submit project idea,Angry
fail licensing exam,Fear
afraid intellectually capable,Fear
lecture morning interesting,Joy
seminar start hour,Neutral
participated peer tutoring,Neutral
course registration priority system unfair,Angry
missing home family much,Sad
academic mentor ended relationship,Sad
registered next semester class,Neutral
got difficult subject,Joy
reviewed academic literature,Neutral
professor refused collaboration request,Sad
worried low gpa,Fear
research methodology yielding great result,Joy
return book tomorrow,Neutral
completed,Neutral
worried failing assignment,Fear
classmate sabotaged lab preparation,Angry
academic conference presentation went perfectly,Joy
nervous experimental error,Fear
exhibition next week,Neutral
research methodology opening new dimension,Joy
classmate belittled suggestion,Angry
research proposal rejected unfairly,Angry
got selected research program,Joy
anxious managing stress,Fear
professor offered position research associate,Joy
research finding enlightening entire world,Joy
afraid academic shortcoming,Fear
completed experimental research,Neutral
professor invited join research team,Joy
afraid public speaking,Fear
could print poster club,Sad
understand material,Fear
academic future completely hopeless,Sad
felt furious internship rejection,Angry
people blame something,Fear
professor recommended fellowship,Joy
canteen menu look different today,Neutral
afraid technical failure presentation,Fear
campus event happen weekly,Neutral
worried wonot able answer question well,Fear
faced accident missed exam,Sad
anxious research ethic approval,Fear
afraid feedback,Fear
thesis outline completely criticized,Sad
lab schedule always clashing,Angry
lost purse railway station,Sad
project timeline changed arbitrarily,Angry
completed skill workshop,Neutral
scared thesis defense presentation,Fear
completed technological research,Neutral
got repeated exam,Sad
afraid left behind academically,Fear
got accepted prestigious academic society,Joy
roommate keep playing loud music,Angry
study session scheduled saturday,Neutral
got selected eternal academic fame,Joy
course credit system make sense,Angry
library close pm,Neutral
professor explains assignment clearly,Neutral
enjoyed field trip today,Joy
academic advisor lost faith completely,Sad
spreading rumor didnot,Angry
best firend got sick badly,Sad
worried impostor syndrome,Fear
professor teach advanced course,Neutral
grade low past semester,Sad
study group meet regularly,Neutral
completed practice problem,Neutral
failed course needed graduation,Sad
lecturer praised team work,Joy
got excluded important group project,Sad
donot like univeristy,Angry
feel good today,Joy
got cut research assistantship,Sad
worried presentation logistics,Fear
afraid academic performance evaluation,Fear
need check graduation requirement,Neutral
got selected ultimate academic recognition,Joy
library always overcrowded,Angry
grade disappointing parent,Sad
professor ignored question repeatedly,Angry
completed content analysis,Neutral
portal,Angry
research proposal need major revision,Sad
frustrated constant stress,Angry
reading course material,Neutral
study,Neutral
campus gym equipment always broken,Angry
anxious exam format change,Fear
glad joined todaysworkshop,Joy
got negative feedback presentation skill,Sad
academic mentor celebrating milestone,Joy
office hour pm,Neutral
group leader never listens anyone else,Angry
got selected exclusive academic program,Joy
fight someone,Sad
professor recommended ultimate recognition,Joy
professor criticized research design,Sad
professor doubt analytical ability,Sad
got accepted competitive research program,Joy
professor openly criticized idea,Angry
submitted field work report,Neutral
got recognition innovative research approach,Joy
admin always slow respond,Angry
comprehensive exam result disappointing,Sad
lunch student cafeteria,Neutral
found delious restaurant near mihintale,Joy
lecturer give mark specific student,Angry
felt joyful finishing task early,Joy
studying physic,Neutral
professor invited shape academic future,Joy
afford necessary lab material,Sad
delighted see name list,Joy
understand complex theory,Fear
thesis committee expressed serious concern,Sad
attended academic forum,Neutral
nervous oral presentation,Fear
received positive feedback supervisor,Joy
got criticized lack critical thinking,Sad
best friend univesity,Joy
fear project rejected,Fear
writing lab report,Neutral
fail exam,Sad
advisor never responds important email,Angry
got ineligible without knowing,Sad
academic progress completely stagnant,Sad
got excluded opportunity,Sad
got rejected affair,Sad
instructor refused provide guidance,Angry
got selected prestigious academic delegation,Joy
attended scholarly seminar,Neutral
got accepted academic institute,Joy
got research paper,Sad
scared giving wrong presentation,Fear
scared research presentation,Fear
best student batch,Joy
lost atm card today,Sad
completed health research,Neutral
exam hall ready,Neutral
library study room always dirty,Angry
completed data collection,Neutral
lost inter university debate competition,Sad
open mic night really joyful,Joy
research collaboration solving world problem,Joy
fell sick sport day,Sad
get good grade,Fear
checked exam timetable,Neutral
upload note tonight,Neutral
hate blamed something didnot,Angry
found perfect study group member,Joy
anxious upcoming exam schedule,Fear
attended tutorial session,Neutral
got rejected prestigious summer program,Sad
worried exam performance,Fear
got irritated administrative delay,Angry
completed comparative study,Neutral
worried presentation,Fear
unfair marking scheme,Angry
got irritated uncooperative team member,Angry
scored well quiz,Joy
advisor scheduled conflicting meeting,Angry
tired roomates loud,Angry
took note lecture,Neutral
submitted midterm reflection,Neutral
submitted developmental study,Neutral
professor disappointed beyond measure,Sad
afraid disappointing mentor,Fear
professor accommodate illness absence,Angry
campus transportation system unreliable,Angry
picked textbook bookstore,Neutral
professor provides detailed feedback,Neutral
great time library group study,Joy
completed online quiz,Neutral
research topic accepted,Joy
worried finding job graduation,Fear
hate univeristy culture,Angry
fear failing practical demonstration,Fear
anxious medical school interview,Fear
missed family,Sad
got rejected doctoral program,Sad
always power e urgent work,Angry
classmate intentionally delayed submission,Angry
research methodology adopted others,Joy
academic progress completely reversed,Sad
professor recommended divine academic status,Joy
professor criticized methodology severely,Sad
complete degree time,Sad
printing handout tomorrow,Neutral
got early admission graduate school,Joy
academic progress report discouraging,Sad
professor invited research conference,Joy
lecturer show ontime,Angry
attended academic colloquium,Neutral
afraid making wrong career choice,Fear
attended thesis committee meeting,Neutral
academic network creating universal positive change,Joy
submitted lab report,Neutral
lecturer sometime annoying,Angry
scared failing final year project,Fear
got panick viva,Fear
annoyed angry,Angry
academic achievement creating lasting change,Joy
fear failing entire semester,Fear
attended methodology session,Neutral
felt enraged unfair treatment lab,Angry
professor explain concept clearly,Angry
professor offered independent study opportunity,Joy
scared advisor criticism,Fear
got furious unfair evaluation,Angry
received scholarship notification today,Joy
could get seat exam hall,Sad
thesis defense flawless,Joy
professor sent course announcement,Neutral
classmate intentionally disrupted presentation,Angry
worried wonot get supervisor approval,Fear
got wait listed medical school,Sad
attended faculty development,Neutral
exam scheduled next month,Neutral
attended guest lecture,Neutral
lost wallet today vey sad,Sad
anxious freeze exam,Fear
exam start two week,Neutral
one listens try explain,Angry
struggling academic,Sad
read assigned chapter,Neutral
anxious technical jargon,Fear
attended mandatory orientation,Neutral
attended research symposium,Neutral
professor recommended nobel consideration,Joy
today club opening day,Neutral
campus parking fee ridiculously expensive,Angry
going computer lab,Neutral
joyful time preparing decoration,Joy
done pointless group meeting,Angry
nervous oral defense question,Fear
couldnot meet deadline upset,Sad
instructor refused acknowledge work,Angry
felt provoked group disagreement,Angry
academic mentor celebrating transcendent success,Joy
professor play favorite certain student,Angry
need print note,Neutral
miss grandmother,Sad
hate whole universe,Angry
could join sinhala society event,Sad
felt proud lead team task,Joy
research methodology changing world perspective,Joy
classmate dismissed contribution,Angry
worried excluded team,Fear
got mad friend,Angry
got nervous viva something,Fear
got invited exclusive academic retreat,Joy
could buy ticket concert,Sad
academic performance declining steadily,Sad
weather perfect outdoor class,Joy
succeed field,Fear
worried last minute change,Fear
professor play music study time,Angry
attended office hour session,Neutral
got selected vice president club,Joy
completed explanatory study,Neutral
lecturer never explains thing properly,Angry
independent girl,Neutral
breakthrough moment understanding theory,Joy
lab experiment result inconclusive,Sad
classmate disrespected academic work,Angry
completed cultural research,Neutral
attended group meeting,Neutral
glad managed answer question,Joy
academic calendar conflict holiday,Angry
miss grandmother,Sad
nervous class performance,Fear
scared losing confidence,Fear
anxious lab experiment result,Fear
community service project recognized,Joy
anxious living away family,Fear
met study group class,Neutral
friend went without telling,Sad
completed behavioral study,Neutral
felt provoked research criticism,Angry
worried fail organic chemistry,Fear
submitted methodological review,Neutral
reviewed assignment guideline,Neutral
worried social anxiety class,Fear
roommate leave mess everywhere,Angry
lost student id exam,Sad
campus maintenance work scheduled,Neutral
hackathon competition,Joy
went campus yesterday,Neutral
nervous class participation,Fear
angry raggers,Angry
ate full chicken rice,Neutral
attended scholarly presentation,Neutral
met bestfriend,Joy
submitted progress report,Neutral
professor refused positive evaluation,Sad
assign computer always working properly,Angry
submitted theoretical analysis,Neutral
attendance compulsory undergraduate face end exam,Angry
academic calendar change constantly,Angry
worried ddi submit right file,Fear
lecturer blamed u,Sad
celebrated friend success lab,Joy
missed registration exam,Sad
actually hate academic preassure,Angry
scared independent research project,Fear
never work need,Angry
academic committee questioned progress,Sad
study resource online,Neutral
ca work poor management,Angry
taking note lecture,Neutral
peaceful evening campus lake,Joy
attended scholarly meeting,Neutral
got selected ultimate universal recognition,Joy
angry redo assignment multiple time,Angry
reviewed theoretical framework,Neutral
nervous thesis defense,Fear
understand advanced concept,Fear
worried class ranking,Fear
submitted empirical study,Neutral
cafeteria serving pizza today,Neutral
enjoyed field trip much,Joy
completed interdisciplinary research,Neutral
one repeat subject,Sad
completed survey research,Neutral
meeting academic advisor,Neutral
reviewed sampling technique,Neutral
nervous academic future,Fear
received full tuition scholarship,Joy
university bureaucracy infuriating,Angry
academic goal seem unreachable,Sad
senior disturbing u,Angry
lecture scheduled,Neutral
worried thesis writing process,Fear
campus shuttle service consistently late,Angry
registered online course,Neutral
presentation tomorrow im really nervous,Fear
academic mentor completely withdrew support,Sad
got rejected competitive fellowship,Sad
afford next semester,Fear
